Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,QUERETARO,10.4.3.254,Routerboar:C7:45:F2,MikroTik,DIAGRAMA DE RED,,
up,ROBLEDO,10.1.3.254,Routerboar:6D:DB:23,MikroTik,DIAGRAMA DE RED,,
up,ALAMITOS,10.2.3.254,08:55:31:35:B3:C2,MikroTik,DIAGRAMA DE RED,,
up,ALFAREROS,10.3.3.254,DC:2C:6E:7A:D7:19,MikroTik,DIAGRAMA DE RED,,
up,CASTELLON,10.5.3.254,C4:AD:34:33:C3:0F,MikroTik,DIAGRAMA DE RED,,
up,SILVA,10.6.3.254,Routerboar:F7:5E:47,MikroTik,DIAGRAMA DE RED,,
up,AEROPUERTO,10.7.3.254,Routerboar:3D:72:B9,MikroTik,DIAGRAMA DE RED,,
up,SAN LUIS,10.9.3.254,64:D1:54:EE:C3:2D,MikroTik,DIAGRAMA DE RED,,
up,HIDALGO,10.12.3.254,Routerboar:F7:74:AB,MikroTik,DIAGRAMA DE RED,,
up,ALGODONES,10.14.4.10,74:4D:28:6A:C3:54,MikroTik,DIAGRAMA DE RED,,
up,RUMOROSA,10.13.3.254,CC:2D:E0:CD:26:1A,MikroTik,DIAGRAMA DE RED,,
up,LA MEZA,10.4.6.1,DC:2C:6E:00:1D:86,MikroTik,DIAGRAMA DE RED,,
up,EMMSA,10.8.3.254,74:4D:28:19:D1:00,MikroTik,DIAGRAMA DE RED,,
up,POLVORA,10.15.3.254,08:55:31:35:B3:C3,MikroTik,DIAGRAMA DE RED,,
up,LLANTERA,10.16.4.253,Routerboar:7F:F1:A8,MikroTik,DIAGRAMA DE RED,,
up,AUMSA,10.19.3.254,78:9A:18:A4:1F:E1,MikroTik,DIAGRAMA DE RED,,
up,SATURNO,10.18.3.254,78:9A:18:F2:C4:F0,MikroTik,DIAGRAMA DE RED,,
up,MONTE LOLITA,10.70.3.254,Routerboar:3D:72:B9,MikroTik,DIAGRAMA DE RED,,
up,BENJAMIN HILL,10.90.3.254,,MikroTik,DIAGRAMA DE RED,,
up,TelefonicaAlestra - Sitio 1,10.90.1.1,MimosaNetw:20:14:2B,Mimosa C5c,Benjamin Hill,,
up,Sitio1 - TelefonicaAlestra,10.90.1.2,MimosaNetw:20:14:30,Mimosa C5c,Benjamin Hill,,
up,Sitio1 - Sitio2,10.90.1.3,MimosaNetw:1B:D7:69,Mimosa C5c,Benjamin Hill,,
up,Sitio2 - Sitio1,10.90.1.4,MimosaNetw:3B:92:7C,Mimosa C5c,Benjamin Hill,,
up,Benjamin Hill - Sitio 1,10.90.3.254,,MikroTik,Benjamin Hill,,
up,Alestra_IENOVA - DonDiego,201.139.232.37,,Device Type,Benjamin Hill,,
up,Wi-Tek - PoE,10.90.4.101,00:28:24:13:49:40,Device Type,Benjamin Hill,,
up,Sitio2 - DonDiego,10.90.1.5,MimosaNetw:3B:92:51,Mimosa C5c,Benjamin Hill,,
up,DonDiego - Sitio2,10.90.1.6,MimosaNetw:1B:A2:8B,Mimosa C5c,Benjamin Hill,,
up,OBREGON,10.60.3.254,,MikroTik,DIAGRAMA DE RED,,
up,GUAYMAS,10.70.3.254,,MikroTik,DIAGRAMA DE RED,,
up,HERMOSILLO,10.200.3.254,,MikroTik,DIAGRAMA DE RED,,
up,Monitoreo de Luz - Robledo,10.1.3.88,UbiquitiNe:3E:86:56,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Alamitos,10.2.3.253,UbiquitiNe:5A:32:61,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Alfareros,10.3.3.253,74:AC:B9:74:0A:1E,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Queretaro,10.4.3.253,UbiquitiNe:5E:99:50,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Castellon,10.5.3.253,UbiquitiNe:88:7C:DE,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Silva,10.6.3.253,UbiquitiNe:2E:07:63,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Aeropuerto,10.7.3.253,UbiquitiNe:5A:35:AB,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Emmsa,10.8.100.6,74:AC:B9:74:0F:FC,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - San Luis,10.9.3.253,48:8F:5A:EF:F7:73,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - La Meza,10.11.3.253,UbiquitiNe:20:C4:F5,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Hidalgo,10.12.3.253,UbiquitiNe:5A:32:E3,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Rumorosa,10.13.3.253,F4:92:BF:E2:E0:8B,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Algodones,10.14.3.253,UbiquitiNe:52:0D:FE,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Polvora,10.15.3.253,UbiquitiNe:2E:09:D7,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Aumsa,10.19.3.253,UbiquitiNe:3A:F9:37,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Monte Lolita,10.70.3.253,UbiquitiNe:CE:C8:AC,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Vigia,10.71.3.253,UbiquitiNe:AE:59:08,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Otay,10.101.3.252,UbiquitiNe:56:28:DC,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Fussion,10.102.3.253,UbiquitiNe:CE:B9:7F,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Pacifico,10.103.3.88,UbiquitiNe:BC:B6:EB,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Cerro Bola,10.105.3.210,UbiquitiNe:DA:DB:70,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Cerro Azul 1,10.105.100.250,UbiquitiNe:5A:2F:DB,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Natura,10.112.3.253,UbiquitiNe:20:C5:2E,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Cerro Colorado,10.106.3.253,UbiquitiNe:58:72:CC,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Tecate 3,10.106.4.40,UbiquitiNe:90:CA:C8,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Cuichillas,10.107.3.253,UbiquitiNe:06:BB:74,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Aries Espectacular,10.108.3.251,UbiquitiNe:DC:6F:99,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Rosarito 2,10.124.3.253,UbiquitiNe:64:22:BE,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Rosarito Principal,10.108.3.253,UbiquitiNe:48:50:3D,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Vallarta,10.109.4.88,UbiquitiNe:48:4E:0C,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Villa del Campo,10.110.3.253,UbiquitiNe:88:B2:7A,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Colinas,10.111.3.253,UbiquitiNe:5A:2F:65,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Garcom,10.113.9.253,,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Oaxaca,10.113.9.253,,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Monitoreo de Luz - Playas,10.119.3.253,74:83:C2:AE:2A:CB,Monitoreo de Luz,MONITOREOS DE LUZ,,
